Search Term,Title,Abstract
kidney disease,Vasculitis and Kidney Disease.,"Pediatric vasculitis is a complex group of disorders that commonly presents with multisystem involvement. Renal vasculitis can be isolated to the kidneys or can occur as part of a broader multiorgan vasculitis. Depending on severity, renal vasculitis may present as acute glomerulonephritis (AGN) often associated with hypertension and sometimes with a rapidly deteriorating clinical course. Prompt diagnosis and initiation of therapy are key to preserving kidney function and preventing long-term morbidity and mortality. This review focuses on the clinical presentation, diagnosis, and treatment objectives for common forms of renal vasculitis seen in pediatric patients."
kidney disease,Onconephrology: The intersections between the kidney and cancer.,"Onconephrology is a new subspecialty of nephrology that recognizes the important intersections of kidney disease with cancer. This intersection takes many forms and includes drug-induced nephrotoxicity, electrolyte disorders, paraneoplastic glomerulonephritis, and the interactions of chronic kidney disease with cancer. Data clearly demonstrate that, when patients with cancer develop acute or chronic kidney disease, outcomes are inferior, and the promise of curative therapeutic regimens is lessened. This highlights the imperative for collaborative care between oncologists and nephrologists in recognizing and treating kidney disease in patients with cancer. In response to this need, specific training programs in onconephrology as well as dedicated onconephrology clinics have appeared. This comprehensive review covers many of the critical topics in onconephrology, with a focus on acute kidney injury, chronic kidney disease, drug-induced nephrotoxicity, kidney disease in stem cell transplantation, and electrolyte disorders in patients with cancer."
kidney disease,Calcium Signaling Mediates Cell Death and Crosstalk with Autophagy in Kidney Disease.,"The kidney is an important organ for the maintenance of Ca2+ homeostasis in the body. However, disruption of Ca2+ homeostasis will cause a series of kidney diseases, such as acute kidney injury (AKI), chronic kidney disease (CKD), renal ischemia/reperfusion (I/R) injury, autosomal dominant polycystic kidney disease (ADPKD), podocytopathy, and diabetic nephropathy. During the progression of kidney disease, Ca2+ signaling plays key roles in various cell activities such as necrosis, apoptosis, eryptosis and autophagy. Importantly, there are complex Ca2+ flux networks between the endoplasmic reticulum (ER), mitochondria and lysosomes which regulate intracellular Ca2+ signaling in renal cells and contribute to kidney disease. In addition, Ca2+ signaling also links the crosstalk between various cell deaths and autophagy under the stress of heavy metals or high glucose. In this regard, we present a review of Ca2+ signaling in cell death and crosstalk with autophagy and its potential as a therapeutic target for the development of new and efficient drugs against kidney diseases."
kidney disease,Systems Biology and Kidney Disease.,"The kidney is a complex organ responsible for maintaining multiple aspects of homeostasis in the human body. The combination of distinct, yet interrelated, molecular functions across different cell types make the delineation of factors associated with loss or decline in kidney function challenging. Consequently, there has been a paucity of new diagnostic markers and treatment options becoming available to clinicians and patients in managing kidney diseases. A systems biology approach to understanding the kidney leverages recent advances in computational technology and methods to integrate diverse sets of data. It has the potential to unravel the interplay of multiple genes, proteins, and molecular mechanisms that drive key functions in kidney health and disease. The emergence of large, detailed, multilevel biologic and clinical data from national databases, cohort studies, and trials now provide the critical pieces needed for meaningful application of systems biology approaches in nephrology. The purpose of this review is to provide an overview of the current state in the evolution of the field. Recent successes of systems biology to identify targeted therapies linked to mechanistic biomarkers in the kidney are described to emphasize the relevance to clinical care and the outlook for improving outcomes for patients with kidney diseases."
kidney disease,Kidney disease in children and adolescents with perinatal HIV-1 infection.,"Introduction:
        
      
      Involvement of the kidney in children and adolescents with perinatal (HIV-1) infection can occur at any stage during the child's life with diverse diagnoses, ranging from acute kidney injury, childhood urinary tract infections (UTIs), electrolyte imbalances and drug-induced nephrotoxicity, to diseases of the glomerulus. The latter include various immune-mediated chronic kidney diseases (CKD) and HIV-associated nephropathy (HIVAN).
    


          Discussion:
        
      
      The introduction of highly active anti-retroviral therapy (HAART) has dramatically reduced the incidence of HIVAN, once the commonest form of CKD in children of African descent living with HIV, and also altered its prognosis from eventual progression to end-stage kidney disease to one that is compatible with long-term survival. The impact of HAART on the outcome of other forms of kidney diseases seen in this population has not been as impressive. Increasingly important is nephrotoxicity secondary to the prolonged use of anti-retroviral agents, and the occurrence of co-morbid kidney disease unrelated to HIV infection or its treatment. Improved understanding of the molecular pathogenesis and genetics of kidney diseases associated with HIV will result in better screening, prevention and treatment efforts, as HIV specialists and nephrologists coordinate clinical care of these patients. Both haemodialysis (HD) and peritoneal dialysis (PD) are effective as renal replacement therapy in HIV-infected patients with end-stage kidney disease, with PD being preferred in resource-limited settings. Kidney transplantation, once contraindicated in this population, has now become the most effective renal replacement therapy, provided rigorous criteria are met. Given the attendant morbidity and mortality in HIV-infected children and adolescents with kidney disease, routine screening for kidney disease is recommended where resources permit.
    


          Conclusions:
        
      
      This review focuses on the pathogenesis and genetics, clinical presentation and management of kidney disease in children and adolescents with perinatal HIV-1 infection."
kidney disease,A Rare Kidney Disease To Cure Them All? Towards Mechanism-Based Therapies for Proteinopathies.,"Autosomal dominant tubulointerstitial kidney diseases (ADTKDs) are a group of rare genetic diseases that lead to kidney failure. Mutations in the MUC1 gene cause ADTKD-MUC1 (MUC1 kidney disease, MKD), a disorder with no available therapies. Recent studies have identified the molecular and cellular mechanisms that drive MKD disease pathogenesis. Armed with patient-derived cell lines and pluripotent stem cell (iPSC)-derived kidney organoids, it was found that MKD is a toxic proteinopathy caused by the intracellular accumulation of misfolded MUC1 protein in the early secretory pathway. We discuss the advantages of studying rare monogenic kidney diseases, describe effective patient-derived model systems, and highlight recent mechanistic insights into protein quality control that have implications for additional proteinopathies beyond rare kidney diseases."
kidney disease,Promoting resolution in kidney disease: are we nearly there yet?,"Purpose of review:
        
      
      Nephrology lacks effective therapeutics for many of the presentations and diseases seen in clinical practice. In recent decades, we have come to understand the central place of inflammation in initiating and propagating kidney disease, and, research in more recent years has established that the resolution of inflammation is a highly regulated and active process. With this, has evolved an appreciation that this aspect of the host inflammatory response is defective in kidney disease and led to consideration of a therapeutic paradigm aiming to harness the activity of the molecular drivers of the resolution phase of inflammation. Fatty-acid-derived Specialized pro-resolving mediators (SPMs), partly responsible for resolution of inflammation have gained traction as potential therapeutics.
    


          Recent findings:
        
      
      We describe our current understanding of SPMs for this purpose in acute and chronic kidney disease. These studies cement the place of inflammation and its defective resolution in the pathogenesis of kidney disease, and highlight new avenues for therapy.
    


          Summary:
        
      
      Targeting resolution of inflammation is a viable approach to treating kidney disease. We optimistically look forward to translating these experimental advances into tractable therapeutics to treat kidney disease."
kidney disease,Kidney disease in pregnancy: (Women's Health Series).,"Kidney disease and pregnancy may exist in two general settings: acute kidney injury that develops during pregnancy, and chronic kidney disease that predates conception. In the first trimester of pregnancy, acute kidney injury is most often the result of hyperemesis gravidarum, ectopic pregnancy, or miscarriage. In the second and third trimesters, the common causes of acute kidney injury are severe preeclampsia, hemolysis-elevated liver enzymes-low platelets syndrome, acute fatty liver of pregnancy, and thrombotic microangiopathies, which may pose diagnostic challenges to the clinician. Cortical necrosis and obstructive uropathy are other conditions that may lead to acute kidney injury in these trimesters. Early recognition of these disorders is essential to timely treatment that can improve both maternal and fetal outcomes. In women with preexisting kidney disease, pregnancy-related outcomes depend upon the degree of renal impairment, the amount of proteinuria, and the severity of hypertension. Neonatal and maternal outcomes in pregnancies among renal transplant patients are generally good if the mother has normal baseline allograft function. Common renally active drugs and immunosuppressant medications must be prescribed, with special considerations in pregnant patients."
kidney disease,Urinary microRNA in kidney disease: utility and roles.,"MicroRNAs (miRNAs) are small, noncoding single-stranded RNA oligonucleotides that modulate physiological and pathological processes by modulating target gene expression. Many miRNAs display tissue-specific expression patterns, the dysregulation of which has been associated with various disease states, including kidney disease. Mounting evidence implicates miRNAs in various biological processes, such as cell proliferation and differentiation and cancer. Because miRNAs are relatively stable in tissue and biological fluids, particularly when carried by extracellular vesicles, changes in their levels may reflect the development of human disease. Urinary miRNAs originate from primary kidney and urinary tract cells, cells infiltrating the renal tissue and shed in the urine, or the systemic circulation. Although their validity as biomarkers for kidney disease has not been fully established, studies have been applying analysis of miRNAs in the urine in an attempt to detect and monitor acute and chronic renal diseases. Because appreciation of the significance of miRNAs in the renal field is on the rise, an understanding of miRNA pathways that regulate renal physiology and pathophysiology is becoming critically important. This review aims to summarize new data obtained in this field of research. It is hoped that new developments in the use of miRNAs as biomarkers and/or therapy will help manage and contain kidney disease in affected subjects."
kidney disease,Extracellular Vesicles as Theranostic Tools in Kidney Disease.,"Extracellular vesicles are important vectors for cell-cell communication and show potential value for diagnosis and treatment of kidney diseases. The pathologic diagnosis of kidney diseases relies on kidney biopsy, whereas collection of extracellular vesicles from urine or circulating blood may constitute a less invasive diagnostic tool. In particular, urinary extracellular vesicles released mainly from resident kidney cells might provide an alternative tool for detection of kidney injury. Because extracellular vesicles mirror many features of their parent cells, cargoes of several populations of urinary extracellular vesicles are promising biomarkers for disease processes, like diabetic kidney disease, kidney transplant, and lupus nephritis. Contrarily, extracellular vesicles derived from reparative cells, such as mesenchymal stem cells, tubular epithelial progenitor cells, and human umbilical cord blood represent promising regenerative tools for treatment of kidney diseases. Furthermore, induced pluripotent stem cells-derived and engineered extracellular vesicles are being developed for specific applications for the kidney. Nevertheless, some assumptions regarding the specificity and immunogenicity of extracellular vesicles remain to be established. This review focuses on the utility of extracellular vesicles as therapeutic and diagnostic (theranostic) tools in kidney diseases and future directions for studies."
kidney disease,The Genetic Architecture of Kidney Disease.,"The kidney is subject to a wide range of abnormalities, many of which have a significant hereditable component. Next generation sequencing is increasingly bringing the genetic drivers of Mendelian disease into focus at the base pair level, whereas inexpensive genotyping arrays have surveyed hundreds of thousands of individuals to identify common variants that predispose to kidney dysfunction. In this first article in a CJASN series on kidney genomics, we review how both rare and common variants contribute to kidney disease, explore how evolution may influence the genetic variants that affect kidney function, consider how genetic information is and will be used in the clinic, and identify some of the most important future directions for kidney disease research. Forthcoming articles in the series will elaborate on many of these themes."
kidney disease,[Kidney disease care for the elderly].,"In our aging population, kidney disease management needs to take into account the frailty of the elderly. Standardized geriatric assessments can be proposed to help clinicians apprehend this dimension in their daily practice. These tools allow to better identify frail patients and offer them more personalized and harmless treatments. This article aims to focus on the kidney diseases commonly observed in elderly patients and analyze their specific nephrogeriatric care modalities. It should be noticed that all known kidney diseases can be also observed in the elderly, most often with a quite similar clinical presentation. This review is thus focused on the diseases most frequently and most specifically observed in elderly patients (except for monoclonal gammopathy associated nephropathies, out of the scope of this work), as well as the peculiarities of old age nephrological care."
kidney disease,"The Healthy, Aging, and Diseased Kidney: Relationship with Cardiovascular Disease.","The cardiovascular and renal systems share an intimate physiological relationship, wherein a perturbance in one system may have an adverse effect on the other. Since the burden of renal disease increases with age, there is a considerable interest in the pathophysiology of kidney disease in the geriatric patient population. This review will explore the physiological dynamics behind the increased susceptibility to kidney disease in this population. A better understanding of these pathophysiological changes may lead to improved prevention and management strategies."
kidney disease,Heart Failure and Kidney Disease.,"Kidney disease is commonly found in heart failure (HF) patients. They share many risk factors and common pathophysiological pathways which often lead to mutual dysfunction. Both haemodynamic and non-haemodynamic mechanisms are involved in the development of renal impairment in heart failure patients. Moreover, the presence of a chronic kidney disease is a significant independent predictor of worse outcome in chronic as well as in acute decompensated HF. As a consequence, an accurate evaluation of renal function plays a key role in the management of HF patients. Serum creatinine levels and glomerular filtration rate (GFR) estimates are the corner stones of renal function evaluation in clinical practice. However, to overcome their limits, several emerging glomerular and tubular biomarkers have been proposed over the last years. Alongside the renal biomarkers, imaging techniques could complement the laboratory data exploring different pathophysiological pathways. In particular, Doppler evaluation of renal circulation is a highly feasible technique that can effectively identify HF patients prone to develop renal dysfunction and with a worse outcome. Finally, some classes of drugs currently used in heart failure treatment can affect renal function and their use can be influenced by the presence of chronic kidney disease."
kidney disease,Role of Artificial Intelligence in Kidney Disease.,"Artificial intelligence (AI), as an advanced science technology, has been widely used in medical fields to promote medical development, mainly applied to early detections, disease diagnoses, and management. Owing to the huge number of patients, kidney disease remains a global health problem. Challenges remain in its diagnosis and treatment. AI could take individual conditions into account, produce suitable decisions and promise to make great strides in kidney disease management. Here, we review the current studies of AI applications in kidney disease in alerting systems, diagnostic assistance, guiding treatment and evaluating prognosis. Although the number of studies related to AI applications in kidney disease is small, the potential of AI in the management of kidney disease is well recognized by clinicians; AI will greatly enhance clinicians' capacity in their clinical practice in the future."
kidney disease,"Burden, Access, and Disparities in Kidney Disease.","Kidney disease is a global public health problem, affecting over 750 million persons worldwide. The burden of kidney disease varies substantially across the world. In many settings, rates of kidney disease and the provision of its care are defined by socioeconomic, cultural, and political factors leading to significant disparities. World Kidney Day 2019 offers an opportunity to raise awareness of kidney disease and highlight disparities in its burden and current state of global capacity for prevention and management. Here, we highlight the need for strengthening basic infrastructure for kidney care services for early detection and management of acute kidney injury and chronic kidney disease across all countries and advocate for more pragmatic approaches to providing renal replacement therapies. Achieving universal health coverage worldwide by 2030 is a World Health Organization Sustainable Development Goal. While universal health coverage may not include all elements of kidney care in all countries, understanding what is locally feasible and important with a focus on reducing the burden and consequences of kidney disease would be an important step towards achieving kidney health equity."
kidney disease,Obesity and Kidney Disease: Hidden Consequences of the Epidemic.,"Obesity has become a worldwide epidemic, and its prevalence has been projected to grow by 40% in the next decade. This increasing prevalence has implications for the risk of diabetes, cardiovascular disease, and also for chronic kidney disease. A high body mass index is one of the strongest risk factors for new-onset chronic kidney disease. In individuals affected by obesity, a compensatory hyperfiltration occurs to meet the heightened metabolic demands of the increased body weight. The increase in intraglomerular pressure can damage the kidneys and raise the risk of developing chronic kidney disease in the long-term. The incidence of obesity-related glomerulopathy has increased 10-fold in recent years. Obesity has also been shown to be a risk factor for nephrolithiasis, and for a number of malignancies including kidney cancer. This year, the World Kidney Day promotes education on the harmful consequences of obesity and its association with kidney disease, advocating healthy lifestyle and health policy measures that make preventive behaviors an affordable option. Video Journal Club 'Cappuccino with Claudio Ronco' at http://www.karger.com/?doi=458481."
kidney disease,Gene editing of stem cells for kidney disease modelling and therapeutic intervention.,"Recent developments in targeted gene editing have paved the way for the wide adoption of clustered regularly interspaced short palindromic repeats (CRISPR)-associated protein-9 nucleases (Cas9) as an RNA-guided molecular tool to modify the genome of eukaryotic cells of animals. Theoretically, the translation of CRISPR-Cas9 can be applied to the treatment of inherited or acquired kidney disease, kidney transplantation and genetic corrections of somatic cells from kidneys with inherited mutations, such as polycystic kidney disease. Human pluripotent stem cells have been used to generate an unlimited source of kidney progenitor cells or, when spontaneously differentiated into three-dimensional kidney organoids, to model kidney organogenesis or the pathogenesis of disease. Gene editing now allows for the tagging and selection of specific kidney cell types or disease-specific gene knock in/out, which enables more precise understanding of kidney organogenesis and genetic diseases. This review discusses the mechanisms of action, in addition to the advantages and disadvantages, of the three major gene editing technologies, namely, CRISPR-Cas9, zinc finger nucleases and transcription activator-like effector nucleases. The implications of using gene editing to better understand kidney disease is reviewed in detail. In addition, the ethical issues of gene editing, which could be easily neglected in the modern, fast-paced research environment, are highlighted."
kidney disease,"Burden, access, and disparities in kidney disease.","Kidney disease is a global public health problem, affecting over 750 million persons worldwide. The burden of kidney disease varies substantially across the world, as does its detection and treatment. In many settings, rates of kidney disease and the provision of its care are defined by socio-economic, cultural, and political factors leading to significant disparities. World Kidney Day 2019 offers an opportunity to raise awareness of kidney disease and highlight disparities in its burden and current state of global capacity for prevention and management. Here, we highlight that many countries still lack access to basic diagnostics, a trained nephrology workforce, universal access to primary health care, and renal replacement therapies. We point to the need for strengthening basic infrastructure for kidney care services for early detection and management of acute kidney injury and chronic kidney disease across all countries and advocate for more pragmatic approaches to providing renal replacement therapies. Achieving universal health coverage worldwide by 2030 is one of the World Health Organization's Sustainable Development Goals. While universal health coverage may not include all elements of kidney care in all countries, understanding what is feasible and important for a country or region with a focus on reducing the burden and consequences of kidney disease would be an important step towards achieving kidney health equity."
kidney disease,Roles of Nrf2 in Protecting the Kidney from Oxidative Damage.,"Over 10% of the global population suffers from kidney disease. However, only kidney replacement therapies, which burden medical expenses, are currently effective in treating kidney disease. Therefore, elucidating the complicated molecular pathology of kidney disease is an urgent priority for developing innovative therapeutics for kidney disease. Recent studies demonstrated that intertwined renal vasculature often causes ischemia-reperfusion injury (IRI), which generates oxidative stress, and that the accumulation of oxidative stress is a common pathway underlying various types of kidney disease. We reported that activating the antioxidative transcription factor Nrf2 in renal tubules in mice with renal IRI effectively mitigates tubular damage and interstitial fibrosis by inducing the expression of genes related to cytoprotection against oxidative stress. Additionally, since the kidney performs multiple functions beyond blood purification, renoprotection by Nrf2 activation is anticipated to lead to various benefits. Indeed, our experiments indicated the possibility that Nrf2 activation mitigates anemia, which is caused by impaired production of the erythroid growth factor erythropoietin from injured kidneys, and moderates organ damage worsened by anemic hypoxia. Clinical trials investigating Nrf2-activating compounds in kidney disease patients are ongoing, and beneficial effects are being obtained. Thus, Nrf2 activators are expected to emerge as first-in-class innovative medicine for kidney disease treatment."
kidney disease,Kidney disease in the HIV-infected patient.,"As survival has improved in the highly active antiretroviral therapy (HAART) era, the prevalence of kidney disease is increasing in the aging HIV-infected population. Since HIV-specific kidney disease, particularly human immunodeficiency virus-associated nephropathy (HIVAN), incidence has remained stable if not declining in the HAART era, the rising rates reflect to a great extent increases in kidney disease seen in the general population due to hypertension and diabetes. In addition, HIV-infected patients are exposed to toxicities of antiretrovirals and other drugs. There is also a disproportionate prevalence of HIV in black Americans, who have a higher risk of kidney disease and the associated risk factors. Because of the high rates of kidney disease, screening for kidney dysfunction is recommended at the time of HIV diagnosis. Because kidney disease is usually asymptomatic, effective screening will include assessment of risk factors and markers of kidney disease, specifically estimations of glomerular filtration rate using serum creatinine and quantification of urine protein. Upon identification of renal dysfunction, the differential diagnosis may be broad, including etiologies common in the general population as well as HIV-specific causes. Although clinical diagnoses can be made, a kidney biopsy is often necessary. Regardless of the cause of kidney disease, early identification, accurate diagnosis and consequent appropriate management are likely to result in improved outcomes. Success in confronting this growing problem can only be achieved with better understanding of kidney diseases affecting the HIV population."
kidney disease,Kidney disease in the elderly: update on recent literature.,"Purpose of review:
        
      
      We review recent literature on the epidemiology and outcomes of chronic kidney disease in the elderly and discuss implications for management.
    


          Recent findings:
        
      
      Chronic kidney disease is common in the elderly and associated with substantial morbidity and mortality. The prognostic significance of a given level of estimated glomerular filtration rate, however, varies substantially by age. Estimates of the prevalence of chronic kidney disease at the population level and estimates glomerular filtration rate at the individual level are exquisitely sensitive to the methods used to arrive at these estimates. At present there is no clear consensus on the optimal approach to estimating glomerular filtration rate in elderly individuals in the clinical setting. Available evidence to guide management of chronic kidney disease is based largely on trials in younger individuals. It is unclear to what extent the results of these trials can be extrapolated to older individuals with chronic kidney disease.
    


          Summary:
        
      
      We advise caution in applying current guidelines to the care of the large number of individuals aged 70 years and older with chronic kidney disease. Ideally, the care of these patients should be individualized and carefully integrated with the management of other comorbid conditions and with patient preferences."
kidney disease,Parasitic kidney disease: milestones in the evolution of our knowledge.,"Of the 342 parasites that infect humans, 20 are associated with kidney disease, yet of these, only schistosomes, plasmodia, filariae, and leishmanias are held responsible for significant clinical or epidemiologic impact. Reviewing the evolution of human knowledge for these parasites discloses a lot of similarities regarding their discovery, patterns of kidney injury, and pathogenic mechanisms. From a historical perspective, our relevant information may be classified into 4 phases: (1) disease documentation in ancient and medieval scripts as far back as 2000-3000 bce; (2) discovery of the parasites, their life cycles, and clinical correlates by European clinicians working in African and Asian colonies during the second half of the 19th century; (3) discovery and characterization of the renal manifestations of monoparasitic infections during the second half of the 20th century; and (4) recognition of the confounding effects of coinfection with bacteria, viruses, or other parasites. The spectrum of respective kidney diseases extends all the way from acute kidney injury to glomerulonephritis, amyloidosis, urologic disorders, and malignancy. Discovery of the common immunopathogenetic host response to parasitic infections has provided a knowledge core that explains the similarities, diversities, and interactions with regard to kidney injury."
kidney disease,Kidney disease and cardiovascular disease: implications of dyslipidemia.,"Cardiovascular complications are common inpatients with kidney disease. Regulating the lipid levels in these patients is important so that the risks of kidney and cardiovascular complications can be minimized. Lipid regulation decreases the incidence of coronary vascular events and other vascular complications in patients with kidney disease; however, whether lipid regulation slows progression of kidney disease is not yet known. Additional studies of the implications of dyslipidemia in patients with kidney disease are needed."
